,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
47,0.0005995750427246094,0.0004895511194711666,0.00039997100830078123,0.0004898624411217046,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.030116930096841705,10
19,0.00019993782043457032,0.0003998756408691407,0.0,0.0,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,0.8095238095238095,0.9428571428571428,0.06998542122237651,14
17,0.0005999565124511719,0.0004898626035770523,0.0,0.0,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,0.8095238095238095,0.9428571428571428,0.06998542122237651,14
5,0.0,0.0,0.0031248092651367187,0.006249618530273437,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,0.8095238095238095,0.9428571428571428,0.06998542122237651,14
4,0.0,0.0,0.0,0.0,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,0.8095238095238095,0.9428571428571428,0.06998542122237651,14
3,0.0,0.0,0.003124856948852539,0.006249713897705078,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9523809523809523,0.8095238095238095,0.9428571428571428,0.06998542122237651,14
11,0.0009993553161621095,3.2340669551493016e-07,0.00019989013671875,0.0003997802734375,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9047619047619048,0.8095238095238095,0.9333333333333333,0.07126966450997983,19
10,0.0007994651794433593,0.0007478312023337514,0.00039992332458496096,0.0004898040465379741,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9047619047619048,0.8095238095238095,0.9333333333333333,0.07126966450997983,19
9,0.000999307632446289,4.90933901833868e-07,0.0003998279571533203,0.0004896872457665585,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",1.0,0.9523809523809523,1.0,0.9047619047619048,0.8095238095238095,0.9333333333333333,0.07126966450997983,19
8,0.0007996559143066406,0.0007480096184603729,0.0003996372222900391,0.0004894536442237294,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",1.0,0.9047619047619048,1.0,0.9047619047619048,0.8571428571428571,0.9333333333333332,0.05714285714285716,22
21,0.0007708549499511718,0.00038945072897446457,0.0001998424530029297,0.0003996849060058594,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",1.0,0.9047619047619048,1.0,0.9047619047619048,0.8571428571428571,0.9333333333333332,0.05714285714285716,22
7,0.0011993885040283204,0.00039999486081696955,0.0007997035980224609,0.0003998518381055636,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",1.0,0.9047619047619048,1.0,0.9047619047619048,0.8571428571428571,0.9333333333333332,0.05714285714285716,22
23,0.0,0.0,0.0,0.0,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.9047619047619048,1.0,0.9047619047619048,0.8571428571428571,0.9333333333333332,0.05714285714285716,22
6,0.0011991024017333984,0.0009790630266799441,0.00039973258972167967,0.0004895704914386467,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",1.0,0.9047619047619048,1.0,0.9047619047619048,0.8571428571428571,0.9333333333333332,0.05714285714285716,22
48,0.0007998943328857422,0.0003999471771024199,0.0005995750427246094,0.0004895510730258258,0.1,,,1,"{'C': 0.1, 'gamma': 1}",1.0,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.9238095238095237,0.04856209060564558,27
51,0.0009994983673095703,3.814697265625e-07,0.0003996849060058594,0.0004895120620278284,1,,,10,"{'C': 1, 'gamma': 10}",1.0,0.9047619047619048,0.8571428571428571,0.9523809523809523,0.8571428571428571,0.9142857142857143,0.05553287518900288,28
22,0.0003997802734375,0.0004896288627950877,0.00017108917236328126,0.0003421783447265625,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.9142857142857143,0.03563483225498991,28
16,0.0009994029998779297,0.0006320327219571839,0.0005994796752929688,0.0004894731129544958,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.9142857142857143,0.03563483225498991,28
30,0.0,0.0,0.0,0.0,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9047619047619048,0.9523809523809523,0.8571428571428571,0.9047619047619048,0.8571428571428571,0.8952380952380953,0.03563483225498992,31
33,0.0009995460510253905,3.2340669551493016e-07,0.00019979476928710938,0.00039958953857421875,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9047619047619048,0.9523809523809523,0.8571428571428571,0.9047619047619048,0.8571428571428571,0.8952380952380953,0.03563483225498992,31
39,0.0001998424530029297,0.0003996849060058594,0.0007996559143066406,0.00039982802823816167,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8095238095238095,0.9523809523809523,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8666666666666666,0.04665694748158433,33
36,0.0009993553161621095,4.422005889652111e-07,0.0,0.0,100,3,sigmoid,0.01,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8095238095238095,0.9523809523809523,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8666666666666666,0.04665694748158433,33
45,0.0007994174957275391,0.000399708786972094,0.0,0.0,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6666666666666666,0.9523809523809523,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8285714285714286,0.09331389496316869,35
42,0.0005996227264404297,0.0004895899369462772,0.0003997802734375,0.0004896288627950879,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6666666666666666,0.9523809523809523,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8285714285714286,0.09331389496316869,35
34,0.0003996849060058594,0.0004895120620278284,0.0005996227264404297,0.0004895899137254485,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.7142857142857143,0.9523809523809523,0.8571428571428571,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.09035079029052509,37
31,0.003724479675292969,0.005962595613197704,0.0003998279571533203,0.0004896872921989839,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.7142857142857143,0.9523809523809523,0.8571428571428571,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.09035079029052509,37
