,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
36,2,576,0.5834015369415283,0.03689986543205136,0.038146162033081056,0.007222829109698608,300,,,,{'n_estimators': 300},0.9391304347826087,0.9652173913043478,0.9478260869565217,0.9565217391304348,0.9652173913043478,0.9547826086956522,0.010140785904078775,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,2,576,0.20193119049072267,0.021553555915141208,0.003124856948852539,0.006249713897705078,,15,,,{'max_depth': 15},0.9304347826086956,0.9652173913043478,0.9391304347826087,0.9565217391304348,0.9652173913043478,0.9513043478260871,0.014128762442845152,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37,2,576,0.1977226734161377,0.015884427237411878,0.009374332427978516,0.007654110388301902,,12,,,{'max_depth': 12},0.9217391304347826,0.9652173913043478,0.9478260869565217,0.9652173913043478,0.9565217391304348,0.9513043478260869,0.01612803216607948,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,2,576,0.7633187770843506,0.09225785141879722,0.043746566772460936,0.0062499524190578635,400,,,,{'n_estimators': 400},0.9304347826086956,0.9565217391304348,0.9391304347826087,0.9652173913043478,0.9565217391304348,0.9495652173913044,0.012779946484086157,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
39,2,576,0.19080986976623535,0.02293905989857257,0.009374475479125977,0.007654227178677543,,,,3,{'min_samples_split': 3},0.9130434782608695,0.9217391304347826,0.9391304347826087,0.9652173913043478,0.9478260869565217,0.9373913043478261,0.018568831742663154,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,1,240,0.6374711990356445,0.05178822291500066,0.04084382057189941,0.007845439706185585,400,,,,{'n_estimators': 400},0.9166666666666666,0.9375,0.9148936170212766,0.9148936170212766,0.9361702127659575,0.9240248226950353,0.01048800455402147,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,1,240,0.15448927879333496,0.025416083638556835,0.012499237060546875,0.006249618635781261,,,,3,{'min_samples_split': 3},0.8958333333333334,0.9375,0.9148936170212766,0.9148936170212766,0.9148936170212766,0.9156028368794326,0.013204756730887363,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,1,240,0.16024680137634278,0.025994331926426677,0.009374380111694336,0.0076541493545693035,,15,,,{'max_depth': 15},0.9166666666666666,0.9166666666666666,0.8936170212765957,0.9148936170212766,0.9148936170212766,0.9113475177304965,0.008900638580149747,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,1,240,0.1756610870361328,0.012117159098033431,0.013759613037109375,0.007299917218744243,,12,,,{'max_depth': 12},0.9166666666666666,0.9166666666666666,0.9148936170212766,0.8723404255319149,0.9361702127659575,0.9113475177304965,0.021008954955459028,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,1,240,0.4637788772583008,0.026909371348518216,0.043747568130493165,0.011692348009433706,300,,,,{'n_estimators': 300},0.9166666666666666,0.9375,0.8936170212765957,0.8936170212765957,0.9148936170212766,0.911258865248227,0.016453098231837313,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
34,1,240,0.1754141330718994,0.012169625278224676,0.006249189376831055,0.007653662642970765,100,,,,{'n_estimators': 100},0.9166666666666666,0.9166666666666666,0.8723404255319149,0.9148936170212766,0.9148936170212766,0.9070921985815602,0.017393969458766957,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,1,240,0.1511445999145508,0.027409287720064273,0.012499570846557617,0.011692246041387067,,8,,,{'max_depth': 8},0.8958333333333334,0.9166666666666666,0.8936170212765957,0.8936170212765957,0.9148936170212766,0.9029255319148936,0.010541820210067195,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,1,240,0.1680288314819336,0.02242045337769263,0.015623855590820312,0.017115111108561884,,6,,,{'max_depth': 6},0.8958333333333334,0.9583333333333334,0.8723404255319149,0.8936170212765957,0.8936170212765957,0.9027482269503546,0.02908233837420238,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,1,240,0.14540524482727052,0.0136758827836945,0.012498903274536132,0.01169162158323927,,,,2,{'min_samples_split': 2},0.8541666666666666,0.9166666666666666,0.8936170212765957,0.9148936170212766,0.9148936170212766,0.8988475177304964,0.02390068291346913,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,1,240,0.17442197799682618,0.01116775504357552,0.001798868179321289,0.003597736358642578,,12,,,{'max_depth': 12},0.8541666666666666,0.9166666666666666,0.8936170212765957,0.8936170212765957,0.9148936170212766,0.8945921985815604,0.022519126555260324,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,1,240,0.15581555366516114,0.02078303225290937,0.016695785522460937,0.010111711273237747,,6,,,{'max_depth': 6},0.9166666666666666,0.9375,0.851063829787234,0.8936170212765957,0.8723404255319149,0.8942375886524822,0.030719844033847397,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0,100,0.14061484336853028,0.009881439162568244,0.00937480926513672,0.007654499724210606,,,,2,{'min_samples_split': 2},0.95,0.8,0.8947368421052632,0.8947368421052632,0.8421052631578947,0.8763157894736843,0.05119080596121189,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
